"Var1","Var2","r","p","Significance"
"CD56-CD16+","CD25",-0.13,0.43,""
"CD56bright","CD25",0.37,0.017,"*"
"CD56dimCD16+/CD57","CD25",0.02,0.91,""
"MIP-1B","CD25",0.25,0.11,""
"NKG2A","CD25",0.49,0.0013,"**"
"NKG2C","CD25",-0.17,0.27,""
"NKG2D","CD25",0.29,0.07,""
"NKp30","CD25",0.11,0.5,""
"Perforin","CD25",0,0.99,""
"Siglec-7","CD25",0.32,0.043,"*"
"TIGIT","CD25",0,0.99,""
"TNFa","CD25",0.19,0.24,""
"CD107a-","CD25",-0.41,0.0072,"**"
"Granzyme B-","CD25",0.36,0.019,"*"
"NKG2A-","CD25",-0.49,0.0013,"**"
"NKG2C-","CD25",0.17,0.28,""
"NKG2D-","CD25",-0.28,0.076,""
"Perforin-","CD25",-0.06,0.71,""
"CD107a+Granzyme B+Perforin+","CD25",0.43,0.0056,"**"
"CD107a-Granzyme B+Perforin+","CD25",-0.43,0.0051,"**"
"CD107a-Granzyme B+Perforin-","CD25",-0.21,0.19,""
"CD107a-Granzyme B-Perforin+","CD25",0.36,0.022,"*"
"NKG2A+NKG2C-NKG2D+","CD25",0.49,0.0013,"**"
"CD56bright","CD56-CD16+",0.09,0.57,""
"CD56dimCD16+/CD57","CD56-CD16+",-0.07,0.67,""
"MIP-1B","CD56-CD16+",0.26,0.1,""
"NKG2A","CD56-CD16+",0.01,0.94,""
"NKG2C","CD56-CD16+",0.07,0.67,""
"NKG2D","CD56-CD16+",-0.09,0.56,""
"NKp30","CD56-CD16+",-0.35,0.023,"*"
"Perforin","CD56-CD16+",-0.26,0.1,""
"Siglec-7","CD56-CD16+",-0.46,0.0023,"**"
"TIGIT","CD56-CD16+",-0.18,0.25,""
"TNFa","CD56-CD16+",0.09,0.57,""
"CD107a-","CD56-CD16+",-0.17,0.28,""
"Granzyme B-","CD56-CD16+",0.25,0.11,""
"NKG2A-","CD56-CD16+",-0.01,0.94,""
"NKG2C-","CD56-CD16+",-0.07,0.67,""
"NKG2D-","CD56-CD16+",0.09,0.56,""
"Perforin-","CD56-CD16+",0.24,0.13,""
"CD107a+Granzyme B+Perforin+","CD56-CD16+",0.13,0.43,""
"CD107a-Granzyme B+Perforin+","CD56-CD16+",-0.2,0.21,""
"CD107a-Granzyme B+Perforin-","CD56-CD16+",0.24,0.13,""
"CD107a-Granzyme B-Perforin+","CD56-CD16+",0.24,0.14,""
"NKG2A+NKG2C-NKG2D+","CD56-CD16+",0.02,0.89,""
"CD56dimCD16+/CD57","CD56bright",-0.2,0.21,""
"MIP-1B","CD56bright",0.17,0.29,""
"NKG2A","CD56bright",0.07,0.67,""
"NKG2C","CD56bright",0.17,0.28,""
"NKG2D","CD56bright",-0.36,0.019,"*"
"NKp30","CD56bright",0.18,0.25,""
"Perforin","CD56bright",-0.58,8.4e-05,"***"
"Siglec-7","CD56bright",0.01,0.96,""
"TIGIT","CD56bright",0.34,0.028,"*"
"TNFa","CD56bright",-0.02,0.92,""
"CD107a-","CD56bright",-0.43,0.0046,"**"
"Granzyme B-","CD56bright",0.25,0.12,""
"NKG2A-","CD56bright",-0.07,0.68,""
"NKG2C-","CD56bright",-0.17,0.28,""
"NKG2D-","CD56bright",0.37,0.018,"*"
"Perforin-","CD56bright",0.55,0.00018,"***"
"CD107a+Granzyme B+Perforin+","CD56bright",0.38,0.014,"*"
"CD107a-Granzyme B+Perforin+","CD56bright",-0.46,0.0024,"**"
"CD107a-Granzyme B+Perforin-","CD56bright",0.43,0.0045,"**"
"CD107a-Granzyme B-Perforin+","CD56bright",0.22,0.18,""
"NKG2A+NKG2C-NKG2D+","CD56bright",0.05,0.75,""
"MIP-1B","CD56dimCD16+/CD57",0.21,0.19,""
"NKG2A","CD56dimCD16+/CD57",0.03,0.86,""
"NKG2C","CD56dimCD16+/CD57",0.51,0.00063,"***"
"NKG2D","CD56dimCD16+/CD57",0.22,0.17,""
"NKp30","CD56dimCD16+/CD57",-0.41,0.0073,"**"
"Perforin","CD56dimCD16+/CD57",0.09,0.58,""
"Siglec-7","CD56dimCD16+/CD57",-0.3,0.057,""
"TIGIT","CD56dimCD16+/CD57",-0.21,0.18,""
"TNFa","CD56dimCD16+/CD57",0.35,0.026,"*"
"CD107a-","CD56dimCD16+/CD57",-0.21,0.19,""
"Granzyme B-","CD56dimCD16+/CD57",-0.08,0.62,""
"NKG2A-","CD56dimCD16+/CD57",-0.03,0.86,""
"NKG2C-","CD56dimCD16+/CD57",-0.51,0.00062,"***"
"NKG2D-","CD56dimCD16+/CD57",-0.22,0.16,""
"Perforin-","CD56dimCD16+/CD57",-0.08,0.6,""
"CD107a+Granzyme B+Perforin+","CD56dimCD16+/CD57",0.23,0.14,""
"CD107a-Granzyme B+Perforin+","CD56dimCD16+/CD57",-0.17,0.29,""
