"Var1","Var2","r","p","Significance"
"CD56-CD16+","CD25",-0.15,0.32,""
"CD56bright","CD25",0.2,0.19,""
"CD56dimCD16+/CD57","CD25",0.11,0.47,""
"MIP-1B","CD25",0.39,0.0069,"**"
"NKG2A","CD25",0.27,0.068,""
"NKG2C","CD25",-0.12,0.41,""
"NKG2D","CD25",0.27,0.066,""
"NKp30","CD25",0.11,0.47,""
"Perforin","CD25",-0.16,0.29,""
"Siglec-7","CD25",0.23,0.13,""
"TIGIT","CD25",-0.03,0.83,""
"TNFa","CD25",0.18,0.24,""
"CD107a-","CD25",-0.64,1.7e-06,"***"
"Granzyme B-","CD25",0.24,0.1,""
"NKG2A-","CD25",-0.27,0.068,""
"NKG2C-","CD25",0.12,0.42,""
"NKG2D-","CD25",-0.27,0.07,""
"Perforin-","CD25",0.13,0.39,""
"CD107a+Granzyme B+Perforin+","CD25",0.63,2.7e-06,"***"
"CD107a-Granzyme B+Perforin+","CD25",-0.54,1e-04,"***"
"CD107a-Granzyme B+Perforin-","CD25",0.07,0.65,""
"CD107a-Granzyme B-Perforin+","CD25",0.21,0.16,""
"NKG2A+NKG2C-NKG2D+","CD25",0.27,0.066,""
"CD56bright","CD56-CD16+",0.07,0.63,""
"CD56dimCD16+/CD57","CD56-CD16+",-0.09,0.57,""
"MIP-1B","CD56-CD16+",-0.1,0.49,""
"NKG2A","CD56-CD16+",-0.04,0.8,""
"NKG2C","CD56-CD16+",0.06,0.68,""
"NKG2D","CD56-CD16+",-0.1,0.53,""
"NKp30","CD56-CD16+",-0.34,0.02,"*"
"Perforin","CD56-CD16+",-0.25,0.088,""
"Siglec-7","CD56-CD16+",-0.38,0.0097,"**"
"TIGIT","CD56-CD16+",-0.03,0.84,""
"TNFa","CD56-CD16+",-0.05,0.72,""
"CD107a-","CD56-CD16+",0,0.98,""
"Granzyme B-","CD56-CD16+",0.25,0.091,""
"NKG2A-","CD56-CD16+",0.04,0.8,""
"NKG2C-","CD56-CD16+",-0.06,0.68,""
"NKG2D-","CD56-CD16+",0.1,0.52,""
"Perforin-","CD56-CD16+",0.23,0.13,""
"CD107a+Granzyme B+Perforin+","CD56-CD16+",-0.03,0.84,""
"CD107a-Granzyme B+Perforin+","CD56-CD16+",-0.22,0.15,""
"CD107a-Granzyme B+Perforin-","CD56-CD16+",0.21,0.17,""
"CD107a-Granzyme B-Perforin+","CD56-CD16+",0.26,0.076,""
"NKG2A+NKG2C-NKG2D+","CD56-CD16+",-0.03,0.84,""
"CD56dimCD16+/CD57","CD56bright",-0.15,0.31,""
"MIP-1B","CD56bright",0,0.98,""
"NKG2A","CD56bright",0.04,0.81,""
"NKG2C","CD56bright",0.19,0.21,""
"NKG2D","CD56bright",-0.3,0.043,"*"
"NKp30","CD56bright",0.21,0.16,""
"Perforin","CD56bright",-0.53,0.00015,"***"
"Siglec-7","CD56bright",0,0.99,""
"TIGIT","CD56bright",0.33,0.026,"*"
"TNFa","CD56bright",-0.05,0.76,""
"CD107a-","CD56bright",-0.23,0.13,""
"Granzyme B-","CD56bright",0.3,0.041,"*"
"NKG2A-","CD56bright",-0.03,0.82,""
"NKG2C-","CD56bright",-0.19,0.21,""
"NKG2D-","CD56bright",0.3,0.041,"*"
"Perforin-","CD56bright",0.51,0.00027,"***"
