"Var1","Var2","r","p","Significance"
"CD56-CD16+","CD25",-0.13,0.019,"*"
"CD56bright","CD25",0.38,2.2e-12,"***"
"CD56dimCD16+","CD25",0.03,0.61,""
"CD57","CD25",-0.06,0.31,""
"CD107a","CD25",0.1,0.067,""
"CD122","CD25",-0.02,0.73,""
"CD127","CD25",0.46,0,"***"
"CX3CR1","CD25",-0.07,0.19,""
"FasL","CD25",0.26,2.4e-06,"***"
"Granzyme B","CD25",-0.2,0.00045,"***"
"IFNy","CD25",0.07,0.19,""
"KLRG1","CD25",0.27,1.5e-06,"***"
"MIP-1B","CD25",0.02,0.71,""
"NKG2A","CD25",0.34,8.7e-10,"***"
"NKG2C","CD25",-0.15,0.0094,"**"
"NKG2D","CD25",0.23,2.7e-05,"***"
"NKp30","CD25",0.22,0.00011,"***"
"Perforin","CD25",-0.11,0.061,""
"Siglec-7","CD25",0.24,1.8e-05,"***"
"TIGIT","CD25",0.14,0.013,"*"
"TNFa","CD25",0.06,0.27,""
"CD56bright","CD56-CD16+",0.06,0.27,""
"CD56dimCD16+","CD56-CD16+",-0.96,0,"***"
"CD57","CD56-CD16+",0.45,0,"***"
"CD107a","CD56-CD16+",0.09,0.12,""
"CD122","CD56-CD16+",-0.18,0.0011,"**"
"CD127","CD56-CD16+",-0.08,0.16,""
"CX3CR1","CD56-CD16+",-0.04,0.49,""
"FasL","CD56-CD16+",-0.1,0.078,""
"Granzyme B","CD56-CD16+",-0.08,0.16,""
"IFNy","CD56-CD16+",0.1,0.063,""
"KLRG1","CD56-CD16+",-0.23,4.3e-05,"***"
"MIP-1B","CD56-CD16+",0.09,0.13,""
"NKG2A","CD56-CD16+",-0.07,0.19,""
"NKG2C","CD56-CD16+",0.07,0.19,""
"NKG2D","CD56-CD16+",-0.06,0.26,""
"NKp30","CD56-CD16+",-0.34,5.1e-10,"***"
"Perforin","CD56-CD16+",-0.04,0.47,""
"Siglec-7","CD56-CD16+",-0.43,1.3e-15,"***"
"TIGIT","CD56-CD16+",-0.11,0.041,"*"
"TNFa","CD56-CD16+",0.02,0.69,""
"CD56dimCD16+","CD56bright",-0.29,2e-07,"***"
"CD57","CD56bright",-0.12,0.03,"*"
"CD107a","CD56bright",0.22,1e-04,"***"
"CD122","CD56bright",-0.24,1.2e-05,"***"
"CD127","CD56bright",0.09,0.13,""
"CX3CR1","CD56bright",-0.23,3e-05,"***"
"FasL","CD56bright",-0.19,0.00085,"***"
"Granzyme B","CD56bright",-0.16,0.0035,"**"
"IFNy","CD56bright",0.08,0.15,""
"KLRG1","CD56bright",-0.09,0.11,""
"MIP-1B","CD56bright",0.15,0.006,"**"
"NKG2A","CD56bright",0.1,0.074,""
"NKG2C","CD56bright",0.14,0.012,"*"
