"Var1","Var2","r","p","Significance"
"NKG2D","CD56bright",-0.23,3.5e-05,"***"
"NKp30","CD56bright",0.22,6.4e-05,"***"
"Perforin","CD56bright",-0.14,0.012,"*"
"Siglec-7","CD56bright",0.02,0.66,""
"TIGIT","CD56bright",0.34,2.9e-10,"***"
"TNFa","CD56bright",0.04,0.48,""
"CD57","CD56dimCD16+",-0.42,7.3e-15,"***"
"CD107a","CD56dimCD16+",-0.15,0.0072,"**"
"CD122","CD56dimCD16+",0.23,4.3e-05,"***"
"CD127","CD56dimCD16+",0.02,0.66,""
"CX3CR1","CD56dimCD16+",0.09,0.13,""
"FasL","CD56dimCD16+",0.1,0.07,""
"Granzyme B","CD56dimCD16+",0.13,0.023,"*"
"IFNy","CD56dimCD16+",-0.15,0.0074,"**"
"KLRG1","CD56dimCD16+",0.25,7.4e-06,"***"
"MIP-1B","CD56dimCD16+",-0.15,0.0077,"**"
"NKG2A","CD56dimCD16+",0.07,0.23,""
"NKG2C","CD56dimCD16+",-0.1,0.079,""
"NKG2D","CD56dimCD16+",0.11,0.057,""
"NKp30","CD56dimCD16+",0.26,4.2e-06,"***"
"Perforin","CD56dimCD16+",0.08,0.16,""
"Siglec-7","CD56dimCD16+",0.45,0,"***"
"TIGIT","CD56dimCD16+",0.05,0.4,""
"TNFa","CD56dimCD16+",-0.06,0.28,""
"CD107a","CD57",0.15,0.0059,"**"
"CD122","CD57",0.24,1.4e-05,"***"
"CD127","CD57",0.06,0.33,""
"CX3CR1","CD57",0.1,0.062,""
"FasL","CD57",-0.08,0.15,""
"Granzyme B","CD57",0.07,0.2,""
"IFNy","CD57",0.17,0.0019,"**"
"KLRG1","CD57",-0.12,0.034,"*"
"MIP-1B","CD57",0.08,0.18,""
"NKG2A","CD57",0.05,0.36,""
"NKG2C","CD57",0.42,3.6e-15,"***"
"NKG2D","CD57",0.13,0.019,"*"
"NKp30","CD57",-0.61,0,"***"
"Perforin","CD57",0.07,0.19,""
"Siglec-7","CD57",-0.5,0,"***"
"TIGIT","CD57",-0.28,3.8e-07,"***"
"TNFa","CD57",0.18,0.0017,"**"
"CD122","CD107a",-0.1,0.065,""
"CD127","CD107a",0.03,0.62,""
"CX3CR1","CD107a",-0.05,0.41,""
"FasL","CD107a",0.13,0.022,"*"
"Granzyme B","CD107a",-0.01,0.85,""
"IFNy","CD107a",0.6,0,"***"
"KLRG1","CD107a",0.02,0.71,""
"MIP-1B","CD107a",0.75,0,"***"
"NKG2A","CD107a",0.1,0.082,""
"NKG2C","CD107a",0.09,0.11,""
"NKG2D","CD107a",-0.02,0.73,""
"NKp30","CD107a",-0.06,0.29,""
"Perforin","CD107a",0.02,0.78,""
"Siglec-7","CD107a",-0.06,0.32,""
"TIGIT","CD107a",0.03,0.65,""
"TNFa","CD107a",0.56,0,"***"
"CD127","CD122",-0.17,0.0027,"**"
"CX3CR1","CD122",0.12,0.032,"*"
"FasL","CD122",-0.02,0.69,""
"Granzyme B","CD122",0.17,0.0026,"**"
"IFNy","CD122",-0.09,0.11,""
"KLRG1","CD122",-0.09,0.11,""
"MIP-1B","CD122",-0.15,0.0064,"**"
"NKG2A","CD122",-0.06,0.26,""
"NKG2C","CD122",0.04,0.47,""
"NKG2D","CD122",0,0.95,""
"NKp30","CD122",-0.16,0.0051,"**"
"Perforin","CD122",0.06,0.25,""
"Siglec-7","CD122",-0.13,0.025,"*"
"TIGIT","CD122",-0.37,1.6e-11,"***"
"TNFa","CD122",-0.18,0.0011,"**"
"CX3CR1","CD127",-0.03,0.57,""
"FasL","CD127",0.55,0,"***"
"Granzyme B","CD127",-0.25,6.1e-06,"***"
"IFNy","CD127",0.05,0.4,""
"KLRG1","CD127",0.14,0.0098,"**"
"MIP-1B","CD127",0,0.99,""
"NKG2A","CD127",0.39,4.1e-13,"***"
"NKG2C","CD127",0.03,0.59,""
"NKG2D","CD127",0.21,0.00017,"***"
"NKp30","CD127",0.25,6.8e-06,"***"
"Perforin","CD127",-0.15,0.0061,"**"
"Siglec-7","CD127",0.12,0.037,"*"
"TIGIT","CD127",0.09,0.12,""
"TNFa","CD127",0.12,0.027,"*"
"FasL","CX3CR1",-0.32,7e-09,"***"
"Granzyme B","CX3CR1",0.18,0.0013,"**"
"IFNy","CX3CR1",0.16,0.004,"**"
"KLRG1","CX3CR1",0.33,1.7e-09,"***"
"MIP-1B","CX3CR1",-0.01,0.87,""
"NKG2A","CX3CR1",0.26,4.2e-06,"***"
"NKG2C","CX3CR1",0.07,0.21,""
"NKG2D","CX3CR1",0.42,7.3e-15,"***"
"NKp30","CX3CR1",-0.1,0.065,""
"Perforin","CX3CR1",0.16,0.0054,"**"
"Siglec-7","CX3CR1",0.23,3.4e-05,"***"
"TIGIT","CX3CR1",-0.41,1.5e-14,"***"
"TNFa","CX3CR1",0.08,0.16,""
"Granzyme B","FasL",-0.28,6e-07,"***"
"IFNy","FasL",-0.04,0.48,""
"KLRG1","FasL",0,0.93,""
"MIP-1B","FasL",0.02,0.78,""
"NKG2A","FasL",0.17,0.002,"**"
"NKG2C","FasL",-0.3,3.3e-08,"***"
"NKG2D","FasL",0.19,0.00086,"***"
"NKp30","FasL",0.12,0.034,"*"
"Perforin","FasL",-0.18,0.0012,"**"
"Siglec-7","FasL",0.09,0.11,""
"TIGIT","FasL",0.05,0.36,""
"TNFa","FasL",0.09,0.098,""
"IFNy","Granzyme B",0.01,0.81,""
"KLRG1","Granzyme B",-0.08,0.16,""
"MIP-1B","Granzyme B",0.01,0.82,""
"NKG2A","Granzyme B",0.05,0.4,""
"NKG2C","Granzyme B",0.01,0.88,""
"NKG2D","Granzyme B",0.14,0.016,"*"
"NKp30","Granzyme B",-0.17,0.0019,"**"
"Perforin","Granzyme B",0.95,0,"***"
"Siglec-7","Granzyme B",-0.05,0.33,""
"TIGIT","Granzyme B",-0.23,2.9e-05,"***"
"TNFa","Granzyme B",-0.02,0.78,""
"KLRG1","IFNy",0.13,0.026,"*"
"MIP-1B","IFNy",0.83,0,"***"
"NKG2A","IFNy",0.15,0.0085,"**"
"NKG2C","IFNy",0.18,0.0013,"**"
"NKG2D","IFNy",0.1,0.063,""
"NKp30","IFNy",-0.12,0.03,"*"
"Perforin","IFNy",0.04,0.49,""
"Siglec-7","IFNy",0.02,0.7,""
"TIGIT","IFNy",-0.16,0.0034,"**"
"TNFa","IFNy",0.67,0,"***"
"MIP-1B","KLRG1",0.03,0.55,""
"NKG2A","KLRG1",0.17,0.0021,"**"
"NKG2C","KLRG1",-0.21,0.00013,"***"
"NKG2D","KLRG1",0.31,1.1e-08,"***"
"NKp30","KLRG1",0.15,0.0077,"**"
"Perforin","KLRG1",0.05,0.33,""
"Siglec-7","KLRG1",0.43,1.3e-15,"***"
"TIGIT","KLRG1",0.12,0.029,"*"
"TNFa","KLRG1",0.18,0.0011,"**"
"NKG2A","MIP-1B",0.18,0.0012,"**"
"NKG2C","MIP-1B",0.06,0.26,""
"NKG2D","MIP-1B",0.05,0.36,""
"NKp30","MIP-1B",-0.02,0.73,""
"Perforin","MIP-1B",0.05,0.33,""
"Siglec-7","MIP-1B",-0.02,0.71,""
"TIGIT","MIP-1B",0.02,0.74,""
"TNFa","MIP-1B",0.69,0,"***"
"NKG2C","NKG2A",-0.09,0.13,""
"NKG2D","NKG2A",0.51,0,"***"
"NKp30","NKG2A",-0.09,0.11,""
"Perforin","NKG2A",0.1,0.086,""
"Siglec-7","NKG2A",0.39,4.8e-13,"***"
"TIGIT","NKG2A",-0.04,0.45,""
"TNFa","NKG2A",0.38,1.7e-12,"***"
"NKG2D","NKG2C",-0.06,0.3,""
"NKp30","NKG2C",-0.19,0.00073,"***"
"Perforin","NKG2C",-0.04,0.44,""
"Siglec-7","NKG2C",-0.3,7.9e-08,"***"
"TIGIT","NKG2C",-0.18,0.0014,"**"
"TNFa","NKG2C",0.16,0.0033,"**"
"NKp30","NKG2D",-0.23,2.9e-05,"***"
"Perforin","NKG2D",0.24,2.3e-05,"***"
"Siglec-7","NKG2D",0.31,2.3e-08,"***"
"TIGIT","NKG2D",-0.27,6.6e-07,"***"
"TNFa","NKG2D",0.17,0.0026,"**"
"Perforin","NKp30",-0.12,0.035,"*"
"Siglec-7","NKp30",0.34,7.5e-10,"***"
"TIGIT","NKp30",0.48,0,"***"
"TNFa","NKp30",-0.08,0.16,""
"Siglec-7","Perforin",0.01,0.91,""
"TIGIT","Perforin",-0.14,0.013,"*"
"TNFa","Perforin",0.04,0.46,""
"TIGIT","Siglec-7",0.15,0.0096,"**"
"TNFa","Siglec-7",0.11,0.049,"*"
"TNFa","TIGIT",-0.09,0.097,""
