"Var1","Var2","r","p","Significance"
"CD56-CD16+","CD25",-0.22,0.24,""
"CD56bright","CD25",0.51,0.0033,"**"
"CD56dimCD16+/CD57","CD25",-0.12,0.52,""
"MIP-1B","CD25",0.19,0.31,""
"NKG2A","CD25",0.38,0.037,"*"
"NKG2C","CD25",-0.23,0.22,""
"NKG2D","CD25",0.26,0.16,""
"NKp30","CD25",0.43,0.017,"*"
"Perforin","CD25",-0.18,0.33,""
"Siglec-7","CD25",0.28,0.12,""
"TIGIT","CD25",0.21,0.25,""
"TNFa","CD25",-0.02,0.92,""
"CD107a-","CD25",-0.01,0.96,""
"Granzyme B-","CD25",0.55,0.0013,"**"
"NKG2A-","CD25",-0.37,0.038,"*"
"NKG2C-","CD25",0.23,0.22,""
"NKG2D-","CD25",-0.26,0.16,""
"Perforin-","CD25",0.15,0.43,""
"CD107a+Granzyme B+Perforin+","CD25",-0.09,0.62,""
"CD107a-Granzyme B+Perforin+","CD25",-0.45,0.011,"*"
"CD107a-Granzyme B+Perforin-","CD25",-0.19,0.31,""
"CD107a-Granzyme B-Perforin+","CD25",0.58,7e-04,"***"
"NKG2A+NKG2C-NKG2D+","CD25",0.38,0.033,"*"
"CD56bright","CD56-CD16+",0.07,0.72,""
"CD56dimCD16+/CD57","CD56-CD16+",-0.1,0.58,""
"MIP-1B","CD56-CD16+",0.43,0.017,"*"
"NKG2A","CD56-CD16+",-0.22,0.23,""
"NKG2C","CD56-CD16+",0.11,0.55,""
"NKG2D","CD56-CD16+",-0.07,0.7,""
"NKp30","CD56-CD16+",-0.26,0.16,""
"Perforin","CD56-CD16+",-0.29,0.12,""
"Siglec-7","CD56-CD16+",-0.42,0.018,"*"
"TIGIT","CD56-CD16+",-0.17,0.36,""
"TNFa","CD56-CD16+",0.17,0.36,""
"CD107a-","CD56-CD16+",-0.57,0.00073,"***"
"Granzyme B-","CD56-CD16+",0.3,0.096,""
"NKG2A-","CD56-CD16+",0.22,0.23,""
"NKG2C-","CD56-CD16+",-0.11,0.55,""
"NKG2D-","CD56-CD16+",0.08,0.67,""
"Perforin-","CD56-CD16+",0.32,0.084,""
"CD107a+Granzyme B+Perforin+","CD56-CD16+",0.6,0.00034,"***"
"CD107a-Granzyme B+Perforin+","CD56-CD16+",-0.52,0.0028,"**"
"CD107a-Granzyme B+Perforin-","CD56-CD16+",0.15,0.42,""
"CD107a-Granzyme B-Perforin+","CD56-CD16+",0.29,0.11,""
"NKG2A+NKG2C-NKG2D+","CD56-CD16+",-0.22,0.23,""
"CD56dimCD16+/CD57","CD56bright",-0.21,0.26,""
"MIP-1B","CD56bright",0.21,0.25,""
"NKG2A","CD56bright",0.18,0.33,""
"NKG2C","CD56bright",0,0.98,""
"NKG2D","CD56bright",-0.03,0.85,""
"NKp30","CD56bright",0.26,0.16,""
"Perforin","CD56bright",-0.46,0.0094,"**"
"Siglec-7","CD56bright",0.06,0.77,""
"TIGIT","CD56bright",0.42,0.018,"*"
"TNFa","CD56bright",-0.13,0.49,""
"CD107a-","CD56bright",-0.05,0.81,""
"Granzyme B-","CD56bright",0.49,0.0047,"**"
"NKG2A-","CD56bright",-0.18,0.34,""
"NKG2C-","CD56bright",-0.01,0.98,""
"NKG2D-","CD56bright",0.04,0.82,""
"Perforin-","CD56bright",0.48,0.0058,"**"
"CD107a+Granzyme B+Perforin+","CD56bright",-0.04,0.84,""
"CD107a-Granzyme B+Perforin+","CD56bright",-0.49,0.0051,"**"
"CD107a-Granzyme B+Perforin-","CD56bright",0.19,0.3,""
"CD107a-Granzyme B-Perforin+","CD56bright",0.5,0.0038,"**"
"NKG2A+NKG2C-NKG2D+","CD56bright",0.19,0.32,""
"MIP-1B","CD56dimCD16+/CD57",0.18,0.32,""
"NKG2A","CD56dimCD16+/CD57",0.05,0.77,""
"NKG2C","CD56dimCD16+/CD57",0.57,0.00079,"***"
"NKG2D","CD56dimCD16+/CD57",0.04,0.81,""
"NKp30","CD56dimCD16+/CD57",-0.55,0.0013,"**"
"Perforin","CD56dimCD16+/CD57",0.08,0.68,""
"Siglec-7","CD56dimCD16+/CD57",-0.4,0.024,"*"
"TIGIT","CD56dimCD16+/CD57",-0.44,0.014,"*"
"TNFa","CD56dimCD16+/CD57",0.17,0.36,""
"CD107a-","CD56dimCD16+/CD57",-0.21,0.25,""
"Granzyme B-","CD56dimCD16+/CD57",-0.34,0.058,""
"NKG2A-","CD56dimCD16+/CD57",-0.06,0.76,""
"NKG2C-","CD56dimCD16+/CD57",-0.57,0.00079,"***"
"NKG2D-","CD56dimCD16+/CD57",-0.05,0.78,""
"Perforin-","CD56dimCD16+/CD57",-0.12,0.53,""
"CD107a+Granzyme B+Perforin+","CD56dimCD16+/CD57",0.23,0.22,""
"CD107a-Granzyme B+Perforin+","CD56dimCD16+/CD57",0.16,0.39,""
"CD107a-Granzyme B+Perforin-","CD56dimCD16+/CD57",0.03,0.85,""
"CD107a-Granzyme B-Perforin+","CD56dimCD16+/CD57",-0.31,0.09,""
"NKG2A+NKG2C-NKG2D+","CD56dimCD16+/CD57",0.05,0.78,""
"NKG2A","MIP-1B",0.23,0.21,""
"NKG2C","MIP-1B",-0.04,0.83,""
"NKG2D","MIP-1B",0.19,0.31,""
"NKp30","MIP-1B",-0.21,0.25,""
"Perforin","MIP-1B",-0.19,0.29,""
"Siglec-7","MIP-1B",-0.28,0.13,""
"TIGIT","MIP-1B",0.04,0.81,""
"TNFa","MIP-1B",0.4,0.027,"*"
"CD107a-","MIP-1B",-0.48,0.0066,"**"
"Granzyme B-","MIP-1B",0.29,0.12,""
"NKG2A-","MIP-1B",-0.23,0.21,""
"NKG2C-","MIP-1B",0.04,0.83,""
"NKG2D-","MIP-1B",-0.19,0.3,""
