"marker_cluster","kw_p_value","vs_CEM_HUT78","vs_CEM_K562","vs_CEM_Untreated","vs_HUT78_K562","vs_HUT78_Untreated","vs_K562_Untreated"
"NKG2D_Cluster1",0.656574785973706,0.803814527372527,0.803814527372527,0.803814527372527,0.803814527372527,0.803814527372527,0.803814527372527
"NKG2D_Cluster2",0.186932721054285,0.304627439016304,0.320551789571648,0.765617873287862,0.765617873287862,0.304627439016304,0.304627439016304
"NKG2D_Cluster3",0.842851034880793,0.928330240538285,0.928330240538285,0.987870025366292,0.928330240538285,0.928330240538285,0.928330240538285
"NKG2D_Cluster4",0.0782079533028608,0.317594783135054,0.0926866688119523,0.811717713884603,0.317594783135054,0.317594783135054,0.0926866688119523
"NKG2D_Cluster5",0.916420359989504,0.996110494247863,0.996110494247863,0.996110494247863,0.996110494247863,0.996110494247863,0.996110494247863
"SIGLEC-7_Cluster1",0.998099764174335,0.972778575766561,0.972778575766561,0.972778575766561,0.972778575766561,0.972778575766561,0.972778575766561
"SIGLEC-7_Cluster2",0.784360532169349,0.83471367582636,0.83471367582636,0.83471367582636,0.83471367582636,0.83471367582636,0.83471367582636
"SIGLEC-7_Cluster3",0.993244184610507,0.987870025366292,0.987870025366292,0.987870025366292,0.987870025366292,0.987870025366292,0.987870025366292
"SIGLEC-7_Cluster4",0.984656952928251,1,1,1,1,1,1
"SIGLEC-7_Cluster5",0.999823081094732,0.983516362446837,0.983516362446837,0.983516362446837,0.983516362446837,0.983516362446837,0.983516362446837
"NKG2A_Cluster1",0.934095888912317,0.975276716086204,0.975276716086204,0.975276716086204,0.975276716086204,0.975276716086204,0.975276716086204
"NKG2A_Cluster2",0.994849262946305,1,1,1,1,1,1
"NKG2A_Cluster3",0.900168973467063,1,1,1,1,1,1
"NKG2A_Cluster4",0.772939147276554,0.866257538786407,0.866257538786407,0.875159882527724,0.866257538786407,0.866257538786407,0.866257538786407
"NKG2A_Cluster5",0.257412692290826,0.664279666433711,0.341979910565599,0.341979910565599,0.341979910565599,0.341979910565599,0.664279666433711
"Granzyme B_Cluster1",0.92122478793563,0.93413490761885,0.93413490761885,0.93413490761885,0.93413490761885,0.93413490761885,0.93413490761885
"Granzyme B_Cluster2",0.537174853280575,0.673915143843937,0.673915143843937,0.788215479039144,0.673915143843937,0.673915143843937,0.673915143843937
"Granzyme B_Cluster3",0.924116299170545,0.947472329918455,0.947472329918455,0.947472329918455,0.947472329918455,0.947472329918455,0.947472329918455
"Granzyme B_Cluster4",0.202302976408335,0.540323589108467,0.950576882581176,0.24006905392947,0.540323589108467,0.501554099365774,0.24006905392947
"Granzyme B_Cluster5",0.87377733491674,0.891161819197414,0.891161819197414,0.891161819197414,0.891161819197414,0.891161819197414,0.891161819197414
"TNF-a_Cluster1",0.479402152291625,0.716419650758437,0.716419650758437,0.716419650758437,0.818761578008168,0.818761578008168,0.803329796515388
"TNF-a_Cluster2",0.982565475498297,0.942352860906023,0.942352860906023,0.942352860906023,0.942352860906023,0.942352860906023,0.942352860906023
"TNF-a_Cluster3",0.97283886260597,0.957235530401218,0.957235530401218,0.957235530401218,0.957235530401218,0.957235530401218,0.957235530401218
"TNF-a_Cluster4",0.92441946299332,0.958806109241909,0.958806109241909,0.958806109241909,0.958806109241909,0.958806109241909,0.958806109241909
"TNF-a_Cluster5",0.988379549306616,0.918460878898316,0.918460878898316,0.918460878898316,0.918460878898316,0.918460878898316,0.918460878898316
"IFN-g_Cluster1",0.743834070090165,0.734624222881702,0.975276716086204,0.734624222881702,0.734624222881702,0.734624222881702,0.734624222881702
"IFN-g_Cluster2",0.753154599703911,0.933952888057377,0.933952888057377,0.933952888057377,0.933952888057377,0.933952888057377,0.933952888057377
"IFN-g_Cluster3",0.952165280223456,0.915245086892035,0.915245086892035,0.915245086892035,0.915245086892035,0.915245086892035,0.915245086892035
"IFN-g_Cluster4",0.974083289543738,0.984146496530971,0.984146496530971,0.984146496530971,0.984146496530971,0.984146496530971,0.984146496530971
"IFN-g_Cluster5",0.952290371147639,0.860587723093097,0.860587723093097,0.860587723093097,0.860587723093097,0.860587723093097,0.860587723093097
"NKG2C_Cluster1",0.66713236844265,0.738509936650243,0.738509936650243,0.738509936650243,0.738509936650243,0.980554298545592,0.738509936650243
"NKG2C_Cluster2",0.985220273803725,0.926203425832682,0.926203425832682,0.926203425832682,0.926203425832682,0.926203425832682,0.926203425832682
"NKG2C_Cluster3",0.792319107365969,0.860587723093097,0.860587723093097,0.860587723093097,0.860587723093097,0.860587723093097,0.860587723093097
"NKG2C_Cluster4",0.856868609019734,0.861132133937326,0.861132133937326,0.861132133937326,0.861132133937326,0.941708542802932,0.861132133937326
"NKG2C_Cluster5",0.952352823539963,0.988331848225131,0.988331848225131,0.988331848225131,0.988331848225131,0.988331848225131,0.988331848225131
"CD56_Cluster1",0.904525414631422,0.965005409938222,0.965005409938222,0.965005409938222,0.965005409938222,0.965005409938222,0.965005409938222
"CD56_Cluster2",0.907444440175997,0.928748459998096,0.928748459998096,0.928748459998096,0.928748459998096,0.928748459998096,0.928748459998096
"CD56_Cluster3",0.819077348336593,0.882343714488473,0.882343714488473,0.987870025366292,0.987870025366292,0.882343714488473,0.882343714488473
"CD56_Cluster4",0.903359581348336,0.983516362446837,0.983516362446837,0.983516362446837,0.983516362446837,0.983516362446837,0.983516362446837
"CD56_Cluster5",0.970340282757143,0.983516362446837,0.983516362446837,0.983516362446837,0.983516362446837,0.983516362446837,0.983516362446837
"KLRG1_Cluster1",0.836328494011907,0.93413490761885,0.93413490761885,0.93413490761885,0.93413490761885,0.93413490761885,0.93413490761885
"KLRG1_Cluster2",0.962417533025688,0.991757746686113,0.991757746686113,0.991757746686113,0.991757746686113,0.991757746686113,0.991757746686113
"KLRG1_Cluster3",0.995440048839738,0.988331848225131,0.988331848225131,0.988331848225131,0.988331848225131,0.988331848225131,0.988331848225131
"KLRG1_Cluster4",0.999889242628637,0.999999999999992,0.999999999999992,0.999999999999992,0.999999999999992,0.999999999999992,0.999999999999992
"KLRG1_Cluster5",0.726557092446273,0.747142984651814,0.747142984651814,0.747142984651814,0.965005409938222,0.965005409938222,0.965005409938222
"CD25_Cluster1",0.0820823519944879,0.130369141458287,0.206824161003015,0.780422423604145,0.629450401389059,0.130369141458287,0.206824161003015
"CD25_Cluster2",0.000513833383507096,0.00130743073353295,0.735055127461095,0.875159882527724,0.00325380531642585,0.00130743073353295,0.691815337251211
"CD25_Cluster3",0.851668700539324,0.868712606453155,0.868712606453155,0.868712606453155,0.868712606453155,0.868712606453155,0.868712606453155
"CD25_Cluster4",0.972482303557831,0.958806109241909,0.958806109241909,0.958806109241909,0.958806109241909,0.958806109241909,0.958806109241909
"CD25_Cluster5",0.373819332881374,0.594410112199632,0.594410112199632,0.681348885099169,0.629450401389059,0.594410112199632,0.594410112199632
