"marker_cluster","p_value","adjusted_p_value"
"CD122_Cluster4",0.0109702406980938,0.0242611092361689
"CD122_Cluster5",0.550877091207258,0.653101706070461
"Ki-67_Cluster1",0.00418286913839315,0.00962059901830424
"Ki-67_Cluster2",0.655896993407112,0.751938103918183
"Ki-67_Cluster3",1.04880062095732e-05,4.82448285640365e-05
"Ki-67_Cluster4",0.0694043378376723,0.103655829238082
"Ki-67_Cluster5",0.000744607809034445,0.00214829264717827
"NKp46_Cluster1",1.227509308765e-05,5.42936809646059e-05
"NKp46_Cluster2",4.49077303774915e-06,2.45923285400549e-05
"NKp46_Cluster3",8.63304618277433e-06,4.31652309138716e-05
"NKp46_Cluster4",0.0365225470095678,0.0680024184782823
"NKp46_Cluster5",0.000553405918964392,0.00167478107055013
"NKp30_Cluster1",3.90681239886049e-14,8.98566851737913e-13
"NKp30_Cluster2",0.970844717622936,0.988027809970245
"NKp30_Cluster3",6.2637090991569e-12,9.00408183003804e-11
"NKp30_Cluster4",0.000176457348457626,0.000596841031547853
"NKp30_Cluster5",9.4832006371959e-06,4.54403363865637e-05
"CD127_Cluster1",4.81772608189092e-11,5.54038499417455e-10
"CD127_Cluster2",0.0534992968396326,0.089165494732721
"CD127_Cluster3",3.19784517050659e-07,2.29845121630161e-06
"CD127_Cluster4",0.0317891980733743,0.0609292963073008
"CD127_Cluster5",0.731645701925485,0.806457662472837
"MIP-1b_Cluster1",0.209159065372791,0.267258805754122
"MIP-1b_Cluster2",0.562360885966436,0.65991328455245
"MIP-1b_Cluster3",0.120437980184334,0.170992194088869
"MIP-1b_Cluster4",0.778920278526999,0.82940585213523
"MIP-1b_Cluster5",0.105272129353311,0.151328685945385
"Perforin_Cluster1",0.193263932139046,0.249723058381914
"Perforin_Cluster2",0.00102927866228827,0.00269016014007162
"Perforin_Cluster3",0.05685432800235,0.0934035388610036
"Perforin_Cluster4",0.859882898561945,0.907215902152511
"Perforin_Cluster5",0.772961942921509,0.82940585213523
"CD107a_Cluster1",0.00111166890252955,0.00275002843921216
"CD107a_Cluster2",0.0389587851613772,0.069188058393089
"CD107a_Cluster3",0.214279471684048,0.270792738941379
"CD107a_Cluster4",0.988211626832496,0.988211626832496
"CD107a_Cluster5",0.0386651852664919,0.069188058393089
"FASL (CD178)_Cluster1",3.48286457526007e-05,0.000143046223626753
"FASL (CD178)_Cluster2",0.00219052613688247,0.00524813553628092
"FASL (CD178)_Cluster3",2.3966252033504e-09,2.12009152604073e-08
"FASL (CD178)_Cluster4",0.0490455872117002,0.0841827243185899
"FASL (CD178)_Cluster5",0.175780024652694,0.232352906150113
"CX3CR1_Cluster1",1.81611003451947e-09,1.74043878308116e-08
"CX3CR1_Cluster2",0.142691145364392,0.197704598998857
"CX3CR1_Cluster3",0.000459622345990102,0.00142855594023951
"CX3CR1_Cluster4",0.179783790853475,0.234944726683518
"CX3CR1_Cluster5",0.0682193785577406,0.103655829238082
"TIGIT_Cluster1",3.61729066656842e-07,2.44699074503158e-06
"TIGIT_Cluster2",0.062104730476444,0.0991950556220981
"TIGIT_Cluster3",0.000823984102977749,0.00220367841494049
"TIGIT_Cluster4",0.711846882499857,0.794780499878481
"TIGIT_Cluster5",0.0024293891132767,0.00570162751075144
