"marker_cluster","p_value","adjusted_p_value"
"NKG2D_Cluster1",1.70085314250753e-12,2.79425873411951e-11
"NKG2D_Cluster2",0.153591156473012,0.210273607076148
"NKG2D_Cluster3",1.45543681496939e-09,1.52159303383164e-08
"NKG2D_Cluster4",0.0391062938743547,0.069188058393089
"NKG2D_Cluster5",1.42493687340171e-05,6.06917557189617e-05
"SIGLEC-7_Cluster1",3.18216259514563e-17,1.21982899480582e-15
"SIGLEC-7_Cluster2",0.0689283413602724,0.103655829238082
"SIGLEC-7_Cluster3",9.90460028023158e-17,2.84757258056658e-15
"SIGLEC-7_Cluster4",0.94482282216884,0.970130576334076
"SIGLEC-7_Cluster5",4.47747940293243e-11,5.54038499417455e-10
"NKG2A_Cluster1",0.901597132129484,0.934087118872889
"NKG2A_Cluster2",0.343953648924948,0.42079435772733
"NKG2A_Cluster3",0.0268337364293251,0.0541382401644277
"NKG2A_Cluster4",0.369095527513962,0.446799849095849
"NKG2A_Cluster5",0.675109819904779,0.761153228324015
"Granzyme B_Cluster1",2.22497066975603e-08,1.70581084681296e-07
"Granzyme B_Cluster2",5.32648219871305e-06,2.78429751296364e-05
"Granzyme B_Cluster3",2.55217736152788e-06,1.46750198287853e-05
"Granzyme B_Cluster4",0.00108752726316299,0.00275002843921216
"Granzyme B_Cluster5",0.000757323915501547,0.00214829264717827
"TNF-a_Cluster1",0.000266009923383957,0.000849753921920975
"TNF-a_Cluster2",0.000765913030733121,0.00214829264717827
"TNF-a_Cluster3",0.00014634350481465,0.000522931383717666
"TNF-a_Cluster4",0.0784436100872317,0.115654040513226
"TNF-a_Cluster5",0.0250670716527193,0.0514770221439772
"IFN-g_Cluster1",0.0614542313709136,0.0991950556220981
"IFN-g_Cluster2",0.0993917937230109,0.144684256685396
"IFN-g_Cluster3",0.0139068414296088,0.0296164215630558
"IFN-g_Cluster4",0.0658993490589645,0.103655829238082
"IFN-g_Cluster5",0.594254948085559,0.690296151816558
"NKG2C_Cluster1",0.000209738978643748,0.000689142358400887
"NKG2C_Cluster2",0.00714861141669576,0.0161194179003924
"NKG2C_Cluster3",1.00555156815059e-06,6.08623317564831e-06
"NKG2C_Cluster4",0.174789552767197,0.232352906150113
"NKG2C_Cluster5",4.52887016061622e-05,0.000179593127058919
"CD56_Cluster1",0.0481580038575716,0.083911673388193
"CD56_Cluster2",0.435409539940135,0.521584344719953
"CD56_Cluster3",0.869667326862587,0.909197659901796
"CD56_Cluster4",0.0310537771893761,0.0605285487589534
"CD56_Cluster5",0.000823984102977749,0.00220367841494049
"KLRG1_Cluster1",4.40952071739042e-32,5.07094882499898e-30
"KLRG1_Cluster2",0.121931555169444,0.17100157127422
"KLRG1_Cluster3",5.92066900828991e-20,3.4043846797667e-18
"KLRG1_Cluster4",0.0120394929927278,0.0261234281917678
"KLRG1_Cluster5",3.55074154369679e-13,6.80558795875217e-12
"CD25_Cluster1",0.00112392466646062,0.00275002843921216
"CD25_Cluster2",0.316163955140019,0.390955428398948
"CD25_Cluster3",0.979526959251589,0.98811930099941
"CD25_Cluster4",0.0275918559160654,0.0547079901784056
"CD25_Cluster5",0.660397813006404,0.751938103918183
"CD57_Cluster1",0.0366621734404653,0.0680024184782823
"CD57_Cluster2",0.295598158008002,0.369497697510002
"CD57_Cluster3",0.736330909214329,0.806457662472837
"CD57_Cluster4",0.15675382935495,0.212078710303756
"CD57_Cluster5",6.22686188823305e-05,0.000238696372382267
"CD16_Cluster1",0.000105289437193211,0.000390589847652234
"CD16_Cluster2",4.19095014067171e-07,2.67755147876248e-06
"CD16_Cluster3",5.64928325976547e-09,4.64048267766449e-08
"CD16_Cluster4",0.0504942589460504,0.08539470262935
"CD16_Cluster5",0.000150058570979852,0.000522931383717666
"CD122_Cluster1",0.068691350829168,0.103655829238082
"CD122_Cluster2",0.753986614162651,0.81800434555382
"CD122_Cluster3",0.01522425440647,0.031832531940801
