"Condition","p_value","Marker"
"K562",0.1640625,"Granzyme B_Cluster5"
"Untreated",1,"Granzyme B_Cluster5"
"CEM",0.8203125,"TNF-a_Cluster1"
"HUT78",0.8203125,"TNF-a_Cluster1"
"K562",0.8203125,"TNF-a_Cluster1"
"Untreated",0.359375,"TNF-a_Cluster1"
"CEM",0.734375,"TNF-a_Cluster2"
"HUT78",1,"TNF-a_Cluster2"
"K562",1,"TNF-a_Cluster2"
"Untreated",0.65234375,"TNF-a_Cluster2"
"CEM",0.91015625,"TNF-a_Cluster3"
"HUT78",0.91015625,"TNF-a_Cluster3"
"K562",0.91015625,"TNF-a_Cluster3"
"Untreated",0.734375,"TNF-a_Cluster3"
"CEM",0.07421875,"TNF-a_Cluster4"
"HUT78",0.01953125,"TNF-a_Cluster4"
"K562",0.0546875,"TNF-a_Cluster4"
"Untreated",0.0390625,"TNF-a_Cluster4"
"CEM",0.07421875,"TNF-a_Cluster5"
"HUT78",0.359375,"TNF-a_Cluster5"
"K562",0.30078125,"TNF-a_Cluster5"
"Untreated",0.5703125,"TNF-a_Cluster5"
"CEM",0.359375,"IFN-g_Cluster1"
"HUT78",0.65234375,"IFN-g_Cluster1"
"K562",0.5703125,"IFN-g_Cluster1"
"Untreated",0.65234375,"IFN-g_Cluster1"
"CEM",0.42578125,"IFN-g_Cluster2"
"HUT78",0.359375,"IFN-g_Cluster2"
"K562",0.42578125,"IFN-g_Cluster2"
"Untreated",0.0078125,"IFN-g_Cluster2"
"CEM",0.203125,"IFN-g_Cluster3"
"HUT78",1,"IFN-g_Cluster3"
"K562",0.65234375,"IFN-g_Cluster3"
"Untreated",0.30078125,"IFN-g_Cluster3"
"CEM",0.91015625,"IFN-g_Cluster4"
"HUT78",0.203125,"IFN-g_Cluster4"
"K562",0.25,"IFN-g_Cluster4"
"Untreated",0.01171875,"IFN-g_Cluster4"
"CEM",0.01171875,"IFN-g_Cluster5"
"HUT78",0.359375,"IFN-g_Cluster5"
"K562",0.0390625,"IFN-g_Cluster5"
"Untreated",0.1640625,"IFN-g_Cluster5"
"CEM",0.359375,"NKG2C_Cluster1"
"HUT78",0.42578125,"NKG2C_Cluster1"
"K562",0.42578125,"NKG2C_Cluster1"
"Untreated",0.359375,"NKG2C_Cluster1"
"CEM",0.5703125,"NKG2C_Cluster2"
"HUT78",0.07421875,"NKG2C_Cluster2"
"K562",0.203125,"NKG2C_Cluster2"
"Untreated",0.12890625,"NKG2C_Cluster2"
"CEM",0.42578125,"NKG2C_Cluster3"
"HUT78",0.42578125,"NKG2C_Cluster3"
"K562",0.49609375,"NKG2C_Cluster3"
"Untreated",0.203125,"NKG2C_Cluster3"
"CEM",0.09765625,"NKG2C_Cluster4"
"HUT78",0.734375,"NKG2C_Cluster4"
"K562",0.1640625,"NKG2C_Cluster4"
"Untreated",0.25,"NKG2C_Cluster4"
"CEM",0.01953125,"NKG2C_Cluster5"
"HUT78",0.02734375,"NKG2C_Cluster5"
"K562",0.8203125,"NKG2C_Cluster5"
"Untreated",0.1640625,"NKG2C_Cluster5"
"CEM",0.5703125,"CD56_Cluster1"
"HUT78",0.8203125,"CD56_Cluster1"
"K562",0.5703125,"CD56_Cluster1"
"Untreated",0.734375,"CD56_Cluster1"
"CEM",0.30078125,"CD56_Cluster2"
"HUT78",0.1640625,"CD56_Cluster2"
"K562",0.30078125,"CD56_Cluster2"
"Untreated",0.07421875,"CD56_Cluster2"
"CEM",1,"CD56_Cluster3"
"HUT78",0.734375,"CD56_Cluster3"
"K562",0.65234375,"CD56_Cluster3"
"Untreated",1,"CD56_Cluster3"
"CEM",0.30078125,"CD56_Cluster4"
"HUT78",0.42578125,"CD56_Cluster4"
"K562",0.30078125,"CD56_Cluster4"
"Untreated",0.734375,"CD56_Cluster4"
"CEM",0.09765625,"CD56_Cluster5"
"HUT78",0.203125,"CD56_Cluster5"
"K562",0.203125,"CD56_Cluster5"
"Untreated",0.12890625,"CD56_Cluster5"
"CEM",0.00390625,"KLRG1_Cluster1"
"HUT78",0.00390625,"KLRG1_Cluster1"
"K562",0.00390625,"KLRG1_Cluster1"
"Untreated",0.00390625,"KLRG1_Cluster1"
"CEM",0.0546875,"KLRG1_Cluster2"
"HUT78",0.12890625,"KLRG1_Cluster2"
"K562",0.09765625,"KLRG1_Cluster2"
"Untreated",0.1640625,"KLRG1_Cluster2"
"CEM",0.0078125,"KLRG1_Cluster3"
"HUT78",0.02734375,"KLRG1_Cluster3"
"K562",0.00390625,"KLRG1_Cluster3"
"Untreated",0.1640625,"KLRG1_Cluster3"
"CEM",0.00390625,"KLRG1_Cluster4"
"HUT78",0.00390625,"KLRG1_Cluster4"
"K562",0.00390625,"KLRG1_Cluster4"
"Untreated",0.00390625,"KLRG1_Cluster4"
"CEM",0.203125,"KLRG1_Cluster5"
"HUT78",0.02734375,"KLRG1_Cluster5"
"K562",0.359375,"KLRG1_Cluster5"
"Untreated",0.1640625,"KLRG1_Cluster5"
"CEM",0.00390625,"CD25_Cluster1"
"HUT78",0.0078125,"CD25_Cluster1"
"K562",0.02734375,"CD25_Cluster1"
"Untreated",0.09765625,"CD25_Cluster1"
"CEM",0.91015625,"CD25_Cluster2"
"HUT78",0.25,"CD25_Cluster2"
"K562",0.5703125,"CD25_Cluster2"
"Untreated",0.734375,"CD25_Cluster2"
"CEM",0.0546875,"CD25_Cluster3"
"HUT78",0.1640625,"CD25_Cluster3"
"K562",0.42578125,"CD25_Cluster3"
"Untreated",0.49609375,"CD25_Cluster3"
"CEM",0.42578125,"CD25_Cluster4"
"HUT78",0.30078125,"CD25_Cluster4"
"K562",0.0078125,"CD25_Cluster4"
"Untreated",0.0546875,"CD25_Cluster4"
"CEM",0.359375,"CD25_Cluster5"
"HUT78",0.1640625,"CD25_Cluster5"
"K562",0.91015625,"CD25_Cluster5"
"Untreated",0.49609375,"CD25_Cluster5"
"CEM",0.00390625,"CD57_Cluster1"
"HUT78",0.00390625,"CD57_Cluster1"
"K562",0.00390625,"CD57_Cluster1"
"Untreated",0.00390625,"CD57_Cluster1"
"CEM",0.8203125,"CD57_Cluster2"
